path	bytes	sha256
PUBLIC_RESULT_SUMMARY.md	1774	1ef27ee3845f095fa7d1d4c26c884af6c64f97a4d67989d3ac3d7e2eecbee3b6
README.md	6125	a855ecec920641eb97ce438e46c02f6c759f93f8e2f2240a9dabfe3ba930a015
figures/14I_H3_evidence_synthesis.png	178960	e167c7d58a0db174c22b869a5e7315fc651b44a6eb8642e75034715235e6d97f
figures/14I_H3_evidence_synthesis.svg	64673	94db3d7ad24b28e05d0a67a632098e2e1cb3bb4f63b300d2e580582c9202d79f
provenance/PHASE14_PATCH_MANIFEST.tsv	2817	45d4014c1652694d648ae330424d1ebe32698d2ffb9976fd10a5e3e8e5158c8e
provenance/PHASE14_VERSION.txt	141	67d524f9f1b8be7a2784a0fb83b3acb85b3f7ac4c2a441ba7291a5bce02bd3d8
provenance/VALIDATION_REPORT.txt	1941	82600fcd27cf66c654de7573737f077d9daebd3aad542c91863088b5c728b109
results/14A_temporal_feasibility_audit/14A_README.txt	1063	6ae57cffa555235d0e2a150833452f212c4eacff04f36556b738eacb2a6d20b5
results/14A_temporal_feasibility_audit/14A_adjacent_period_pair_eligibility.csv	39208	4831723b7d6b0a191d6d26bf2a93216ae714ec97c6c5eb8aeef719f12904d5a8
results/14A_temporal_feasibility_audit/14A_go_no_go_summary.csv	269	86e3e06238552ae07dd6a19d9c32ae28628a93e9b5186ee42c09464a1018d195
results/14A_temporal_feasibility_audit/14A_temporal_feasibility_summary.json	4318	07e7e7e445024748f6dcfff54d8f71db0cf8373c91fdbc30f99ae06cd1f552a6
results/14A_temporal_feasibility_audit/14A_threshold_sensitivity.csv	298	d24d5dcaf1377eabd50505a7d26e16ca608648821decd30e429920f0fc11f0e2
results/14B_temporal_community_turnover/14B_README.txt	567	0011fb9ca5db9ffa90fc4b5641ac4a3e61789fa5c4303e5e7d848bba33a96d69
results/14B_temporal_community_turnover/14B_paired_temporal_turnover.csv	8642	e5c1857ad805132a6236cf90365512f6011ac35f41da219658b71885c8c54016
results/14B_temporal_community_turnover/14B_run_status.json	589	ad06146f849cd46e88b73373a620a517eb85708959ae6c92139e51d05f8b1828
